Rank,Year,Genre,Device,FIFA,Mario,Call of Duty,Grand Theft Auto,Pokemon,Halo,Wii,NBA,NA_Sales As a percentage of Total,EU_Sales As a percentage of Total,JP_Sales As a percentage of Total,Other_Sales As a percentage of Total
16477,2016.0,Strategy,PC,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0
14169,2008.0,Simulation,Portable,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0
4170,2014.0,Sports,Console,1,0,0,0,0,0,0,0,29.79,59.57,0.0,8.51
14982,2008.0,Role-Playing,Portable,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
13563,2009.0,Misc,Portable,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
9410,2000.0,Adventure,Console,0,0,0,0,0,0,0,0,53.85,38.46,0.0,7.69
13211,2013.0,Action,Console,0,0,0,0,0,0,0,0,40.0,40.0,0.0,20.0
3809,2001.0,Action,Console,0,0,0,0,0,0,0,0,49.06,37.74,0.0,13.21
5863,,Racing,Console,0,0,0,0,0,0,0,0,56.67,36.67,0.0,6.67
13837,2006.0,Adventure,Console,0,0,0,0,0,0,0,0,75.0,25.0,0.0,0.0
12337,2013.0,Adventure,Console,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
4936,,Action,Console,0,0,0,0,0,0,0,0,46.15,35.9,0.0,15.38
739,1986.0,Sports,Console,0,0,0,0,0,0,0,0,6.82,0.0,93.18,0.0
128,1986.0,Action,Console,0,0,0,0,0,0,0,0,57.45,14.29,25.96,2.15
11231,2002.0,Shooter,Console,0,0,0,0,0,0,0,0,44.44,33.33,0.0,11.11
13139,2002.0,Puzzle,Portable,0,0,0,0,0,0,0,0,80.0,20.0,0.0,0.0
13486,2015.0,Role-Playing,Portable,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
9719,1994.0,Fighting,Console,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
11366,2000.0,Platform,Console,0,0,0,0,0,0,0,0,62.5,37.5,0.0,12.5
2493,1998.0,Misc,Console,0,0,0,0,0,0,0,0,55.42,37.35,0.0,6.02
10354,1995.0,Sports,Console,0,0,0,0,0,0,0,0,0.0,0.0,90.91,9.09
9226,1998.0,Platform,Console,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
2626,2008.0,Sports,Portable,0,0,0,0,0,0,0,0,27.85,40.51,21.52,8.86
15809,2007.0,Adventure,Console,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
13685,2012.0,Misc,Portable,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0
15212,2008.0,Adventure,PC,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0
