Rank,Global_Sales
16477,0.01
14169,0.03
4170,0.47
14982,0.02
13563,0.04
9410,0.13
13211,0.05
3809,0.53
5863,0.3
13837,0.04
12337,0.06
4936,0.39
739,2.2
128,6.51
11231,0.09
13139,0.05
13486,0.04
9719,0.12
11366,0.08
2493,0.83
10354,0.11
9226,0.14
2626,0.79
15809,0.02
13685,0.04
15212,0.02
773,2.12
9276,0.14
2068,1.0
1751,1.16
560,2.68
9762,0.12
1551,1.28
7410,0.21
16331,0.01
12290,0.06
3446,0.58
11540,0.08
14679,0.03
6410,0.27
14068,0.04
11263,0.08
7062,0.23
9376,0.13
10628,0.1
6771,0.25
6027,0.29
6750,0.25
5969,0.29
3785,0.53
13218,0.05
14271,0.03
13649,0.04
6704,0.25
5747,0.31
13217,0.05
2691,0.76
11896,0.07
10770,0.1
16491,0.01
10363,0.11
540,2.78
9368,0.13
7772,0.19
8277,0.17
4561,0.43
8076,0.18
6940,0.24
14217,0.03
10331,0.11
8878,0.15
8411,0.17
15876,0.02
8331,0.17
5618,0.32
5501,0.33
10800,0.1
15597,0.02
1875,1.09
15527,0.02
13381,0.05
11663,0.08
13114,0.05
521,2.82
14748,0.03
7538,0.2
12054,0.07
14374,0.03
4922,0.39
1037,1.72
9953,0.12
7413,0.21
8515,0.16
11458,0.08
5295,0.35
15418,0.02
12484,0.06
1174,1.58
3318,0.61
2872,0.71
8482,0.16
9216,0.14
15639,0.02
13679,0.04
16089,0.01
6461,0.26
7721,0.2
4743,0.41
10065,0.11
2580,0.8
2442,0.85
2602,0.79
4887,0.39
10309,0.11
4636,0.42
1187,1.56
16594,0.01
12214,0.07
9681,0.12
9038,0.14
9900,0.12
3326,0.61
2544,0.81
2422,0.86
5742,0.31
15962,0.02
16578,0.01
6822,0.24
291,4.07
7267,0.22
13070,0.05
1693,1.19
8990,0.15
11142,0.09
15648,0.02
13532,0.04
16478,0.01
15096,0.02
3085,0.66
931,1.86
10184,0.11
13143,0.05
9715,0.12
15224,0.02
223,4.76
10855,0.09
14911,0.03
356,3.61
15432,0.02
11521,0.08
4692,0.41
8842,0.15
3254,0.62
6451,0.26
8614,0.16
92,7.69
1934,1.07
15260,0.02
11603,0.08
7595,0.2
11329,0.08
6346,0.27
2095,0.99
11870,0.07
9603,0.13
5025,0.38
9418,0.13
9688,0.12
5615,0.32
12388,0.06
11922,0.07
4710,0.41
2605,0.79
3506,0.57
2479,0.84
12837,0.05
21,18.36
1000,1.76
15431,0.02
13590,0.04
13177,0.05
8539,0.16
6287,0.27
15993,0.01
4974,0.39
8337,0.17
9992,0.12
2135,0.97
7128,0.23
278,4.16
3949,0.5
14717,0.03
5145,0.37
5525,0.33
1974,1.05
13737,0.04
5044,0.38
16388,0.01
6172,0.28
3672,0.55
15240,0.02
16535,0.01
2640,0.78
15269,0.02
4150,0.47
16119,0.01
13548,0.04
16082,0.01
5313,0.35
2650,0.78
15673,0.02
10418,0.11
2420,0.86
10603,0.1
1580,1.26
8640,0.16
13052,0.05
3703,0.54
12847,0.05
13128,0.05
8100,0.18
11001,0.09
7869,0.19
7875,0.19
10270,0.11
7783,0.19
5033,0.38
6493,0.26
7228,0.22
1400,1.39
6394,0.27
11508,0.08
14155,0.03
3750,0.54
8256,0.17
4383,0.45
15080,0.02
13575,0.04
9728,0.12
3963,0.5
5786,0.31
14882,0.03
15227,0.02
6577,0.26
7440,0.21
15082,0.02
8495,0.16
11288,0.08
352,3.61
15581,0.02
8009,0.18
3524,0.57
14822,0.03
3109,0.65
4821,0.4
3834,0.52
12830,0.05
3990,0.5
3566,0.56
15663,0.02
14348,0.03
14276,0.03
13224,0.05
14782,0.03
5082,0.38
14571,0.03
13310,0.05
2409,0.87
12078,0.07
8086,0.18
234,4.58
9331,0.13
11623,0.08
9343,0.13
2235,0.93
12974,0.05
13303,0.05
478,2.97
8871,0.15
16134,0.01
12662,0.06
2519,0.82
4769,0.41
2908,0.7
4228,0.46
4127,0.48
14525,0.03
6484,0.26
15214,0.02
1149,1.61
16341,0.01
4192,0.47
2354,0.89
11957,0.07
6593,0.26
13832,0.04
11126,0.09
13405,0.05
13671,0.04
10027,0.11
1453,1.35
2648,0.78
8687,0.16
87,8.05
5902,0.3
5751,0.31
8148,0.18
4976,0.38
1205,1.55
13179,0.05
8357,0.17
12385,0.06
4515,0.43
6065,0.29
11532,0.08
9383,0.13
818,2.06
4531,0.43
1201,1.55
14807,0.03
11442,0.08
5550,0.33
948,1.83
11424,0.08
8027,0.18
5943,0.3
13522,0.04
12873,0.05
14583,0.03
11622,0.08
9872,0.12
15656,0.02
5273,0.35
11673,0.08
2798,0.73
11173,0.09
3286,0.61
14296,0.03
4992,0.38
12701,0.06
14673,0.03
3280,0.62
5208,0.36
15717,0.02
14559,0.03
15696,0.02
16158,0.01
15808,0.02
8432,0.17
6968,0.23
2991,0.68
5479,0.33
3630,0.55
14198,0.03
5062,0.38
6099,0.29
12048,0.07
16053,0.01
6723,0.25
12950,0.05
80,8.49
7685,0.2
1814,1.13
16120,0.01
3097,0.65
14494,0.03
8780,0.15
10057,0.11
2114,0.98
15649,0.02
7894,0.19
1518,1.3
11822,0.07
3720,0.54
1555,1.27
13121,0.05
11907,0.07
12989,0.05
14962,0.02
2817,0.73
6345,0.27
7431,0.21
14461,0.03
11926,0.07
746,2.19
6719,0.25
16228,0.01
10995,0.09
1063,1.69
751,2.18
2637,0.78
937,1.85
4469,0.44
10959,0.09
4380,0.45
1905,1.08
7534,0.2
16242,0.01
7040,0.23
15295,0.02
1620,1.23
6236,0.28
10230,0.11
6158,0.28
14877,0.03
99,7.37
12791,0.06
3867,0.52
10532,0.1
2636,0.78
8868,0.15
13931,0.04
2967,0.69
7435,0.21
5995,0.29
2523,0.82
16098,0.01
7283,0.22
15852,0.02
15578,0.02
4753,0.41
14876,0.03
1198,1.55
168,5.42
6378,0.27
5511,0.33
4098,0.48
11876,0.07
51,11.18
1987,1.05
3071,0.66
15103,0.02
16017,0.01
5903,0.3
9298,0.14
11334,0.08
14545,0.03
9730,0.12
9873,0.12
10349,0.11
13089,0.05
419,3.22
2034,1.02
13650,0.04
14835,0.03
2700,0.76
6160,0.28
2932,0.7
15810,0.02
3508,0.57
1917,1.08
15050,0.02
235,4.58
977,1.78
6173,0.28
5885,0.3
8752,0.15
5629,0.32
8063,0.18
12621,0.06
12400,0.06
6885,0.24
6675,0.25
12308,0.06
5718,0.31
2926,0.7
152,5.82
4533,0.43
11846,0.07
14681,0.03
9660,0.12
14741,0.03
7092,0.23
4125,0.48
3820,0.53
6128,0.28
372,3.51
12502,0.06
9690,0.12
11166,0.09
1839,1.11
9294,0.14
10992,0.09
961,1.81
11586,0.08
11047,0.09
14305,0.03
949,1.83
8128,0.18
4577,0.42
5658,0.32
11275,0.08
7118,0.23
6248,0.28
6064,0.29
4326,0.45
13071,0.05
16495,0.01
14178,0.03
11841,0.07
1341,1.44
9654,0.13
15408,0.02
9629,0.13
5713,0.31
5275,0.35
6369,0.27
6183,0.28
13161,0.05
6988,0.23
4566,0.43
7447,0.21
4502,0.43
487,2.94
5401,0.34
8312,0.17
9060,0.14
8977,0.15
6744,0.25
6958,0.23
13706,0.04
5505,0.33
911,1.89
1106,1.66
10034,0.11
3951,0.5
3353,0.6
9803,0.12
506,2.86
11780,0.07
6694,0.25
12550,0.06
3730,0.54
7389,0.21
13625,0.04
3408,0.59
5711,0.31
4868,0.4
10232,0.11
16046,0.01
8341,0.17
62,10.21
15182,0.02
380,3.48
5890,0.3
